"assembly_accession","物种名称"
"GCA_000968515.1","Escherichia coli"
"GCA_002803025.2","Acinetobacter baumannii"
"GCA_021897415.1","Klebsiella variicola"
"GCF_000006645.1","Yersinia pestis"
"GCF_000006685.1","Chlamydia muridarum"
"GCF_000006745.1","Vibrio cholerae"
"GCF_000006765.1","Pseudomonas aeruginosa"
"GCF_000006785.2","Streptococcus pyogenes"
"GCF_000006845.1","Neisseria gonorrhoeae"
"GCF_000006885.1","Streptococcus pneumoniae"
"GCF_000006925.2","Shigella flexneri"
"GCF_000006945.2","Salmonella enterica"
"GCF_000007025.1","Rickettsia conorii"
"GCF_000007085.1","Caldanaerobacter subterraneus"
"GCF_000007125.1","Brucella melitensis"
"GCF_000007205.1","Chlamydia pneumoniae"
"GCF_000007225.1","Pyrobaculum aerophilum"
"GCF_000007265.1","Streptococcus agalactiae"
"GCF_000007285.1","Streptococcus pyogenes"
"GCF_000007345.1","Methanosarcina acetivorans"
"GCF_000007365.1","Buchnera aphidicola"
"GCF_000007405.1","Shigella flexneri"
"GCF_000007425.1","Streptococcus pyogenes"
"GCF_000007465.2","Streptococcus mutans"
"GCF_000007505.1","Brucella suis"
"GCF_000007545.1","Salmonella enterica"
"GCF_000007805.1","Pseudomonas syringae group genomosp. 3"
"GCF_000007985.2","Geobacter sulfurreducens"
"GCF_000008045.1","Rickettsia typhi"
"GCF_000008105.1","Salmonella enterica"
"GCF_000008185.1","Treponema denticola"
"GCF_000008205.1","Mesomycoplasma hyopneumoniae"
"GCF_000008285.1","Listeria monocytogenes"
"GCF_000008305.1","Mesoplasma florum"
"GCF_000008445.1","Bacillus anthracis"
"GCF_000008465.1","Idiomarina loihiensis"
"GCF_000008485.1","Legionella pneumophila"
"GCF_000008585.1","Mycobacterium tuberculosis"
"GCF_000008805.1","Neisseria meningitidis"
"GCF_000008865.2","Escherichia coli"
"GCF_000009065.1","Yersinia pestis"
"GCF_000009085.1","Campylobacter jejuni"
"GCF_000009105.1","Neisseria meningitidis"
"GCF_000009345.1","Yersinia enterocolitica"
"GCF_000009365.1","Alcanivorax borkumensis"
"GCF_000009385.1","Streptococcus pyogenes"
"GCF_000009465.1","Neisseria meningitidis"
"GCF_000009505.1","Salmonella enterica"
"GCF_000009645.1","Staphylococcus aureus"
"GCF_000009665.1","Staphylococcus aureus"
"GCF_000009745.1","Vibrio vulnificus"
"GCF_000009765.2","Streptomyces avermitilis"
"GCF_000009865.1","Staphylococcus haemolyticus"
"GCF_000009965.1","Thermococcus kodakarensis"
"GCF_000010125.1","Staphylococcus saprophyticus"
"GCF_000010265.1","Clostridium kluyveri"
"GCF_000010445.1","Staphylococcus aureus"
"GCF_000010465.1","Staphylococcus aureus"
"GCF_000010505.1","Porphyromonas gingivalis"
"GCF_000010665.1","Solidesulfovibrio magneticus"
"GCF_000010705.1","Streptococcus dysgalactiae"
"GCF_000011225.1","Malacoplasma penetrans"
"GCF_000011265.1","Staphylococcus aureus"
"GCF_000011285.1","Streptococcus pyogenes"
"GCF_000011325.1","Corynebacterium glutamicum"
"GCF_000011345.1","Thermosynechococcus vestitus"
"GCF_000011505.1","Staphylococcus aureus"
"GCF_000011525.1","Staphylococcus aureus"
"GCF_000011665.1","Streptococcus pyogenes"
"GCF_000011765.3","Streptococcus pyogenes"
"GCF_000011885.1","Salmonella enterica"
"GCF_000011905.1","Dehalococcoides mccartyi"
"GCF_000011925.1","Staphylococcus epidermidis"
"GCF_000011965.2","Ruegeria pomeroyi"
"GCF_000012005.1","Shigella dysenteriae"
"GCF_000012025.1","Shigella boydii"
"GCF_000012045.1","Staphylococcus aureus"
"GCF_000012085.2","Borrelia turicatae"
"GCF_000012165.2","Streptococcus pyogenes"
"GCF_000012285.1","Sulfolobus acidocaldarius"
"GCF_000012345.1","Candidatus Pelagibacter communis"
"GCF_000012365.1","Burkholderia thailandensis"
"GCF_000012705.1","Streptococcus agalactiae"
"GCF_000012725.1","Nitrobacter winogradskyi"
"GCF_000012765.1","Mycoplasma capricolum"
"GCF_000012805.1","Nitrosococcus oceani"
"GCF_000012825.1","Phocaeicola vulgatus"
"GCF_000012925.1","Geobacter metallireducens"
"GCF_000012945.1","Burkholderia lata"
"GCF_000013025.1","Hyphomonas neptunium"
"GCF_000013085.1","Rhodospirillum rubrum"
"GCF_000013145.1","Ehrlichia chaffeensis"
"GCF_000013325.1","Novosphingobium aromaticivorans"
"GCF_000013345.1","Frankia casuarinae"
"GCF_000013425.1","Staphylococcus aureus"
"GCF_000013465.1","Staphylococcus aureus"
"GCF_000013485.1","Streptococcus pyogenes"
"GCF_000013585.1","Shigella flexneri"
"GCF_000013805.1","Yersinia pestis"
"GCF_000013825.1","Yersinia pestis"
"GCF_000013925.1","Mycobacterium ulcerans"
"GCF_000014025.1","Aliarcobacter butzleri"
"GCF_000014105.1","Neisseria meningitidis"
"GCF_000014205.1","Streptococcus sanguinis"
"GCF_000014365.2","Streptococcus pneumoniae"
"GCF_000014805.1","Aeromonas hydrophila"
"GCF_000014885.1","Shewanella piezotolerans"
"GCF_000014985.1","Mycobacterium avium"
"GCF_000015445.1","Bartonella bacilliformis"
"GCF_000015785.2","Bacillus velezensis"
"GCF_000015865.1","Acetivibrio thermocellus"
"GCF_000016045.1","Salmonella enterica"
"GCF_000016065.1","Shewanella loihica"
"GCF_000016245.1","Vibrio cholerae"
"GCF_000016345.1","Polynucleobacter asymbioticus"
"GCF_000016445.1","Yersinia pestis"
"GCF_000016525.1","Methanobrevibacter smithii"
"GCF_000016605.1","Metallosphaera sedula"
"GCF_000016625.1","Rickettsia massiliae"
"GCF_000016645.1","Flavobacterium johnsoniae"
"GCF_000016805.1","Staphylococcus aureus"
"GCF_000016925.1","Mycobacterium tuberculosis"
"GCF_000016945.1","Yersinia pseudotuberculosis"
"GCF_000017005.1","Streptococcus gordonii"
"GCF_000017085.1","Staphylococcus aureus"
"GCF_000017205.1","Pseudomonas paraeruginosa"
"GCF_000017245.1","Actinobacillus succinogenes"
"GCF_000017305.1","Kineococcus radiotolerans"
"GCF_000017445.4","Rickettsia rickettsii"
"GCF_000017685.1","Leptospira biflexa"
"GCF_000017845.1","Crocosphaera subtropica"
"GCF_000018105.1","Acaryochloris marina"
"GCF_000018145.1","Dinoroseobacter shibae"
"GCF_000018205.1","Rickettsia akari"
"GCF_000018225.1","Rickettsia rickettsii"
"GCF_000018345.1","Mycobacterium marinum"
"GCF_000018385.1","Salmonella enterica"
"GCF_000018465.1","Nitrosopumilus maritimus"
"GCF_000018525.1","Brucella canis"
"GCF_000018705.1","Salmonella enterica"
"GCF_000018785.1","Acholeplasma laidlawii"
"GCF_000018805.1","Yersinia pestis"
"GCF_000019025.1","Streptococcus pneumoniae"
"GCF_000019205.1","Campylobacter lari"
"GCF_000019265.1","Streptococcus pneumoniae"
"GCF_000019345.1","Ureaplasma parvum"
"GCF_000019725.1","Methylobacterium radiotolerans"
"GCF_000019905.1","Exiguobacterium artemiae"
"GCF_000019945.1","Methylorubrum populi"
"GCF_000019985.1","Streptococcus pneumoniae"
"GCF_000020025.1","Nostoc punctiforme"
"GCF_000020105.1","Neisseria gonorrhoeae"
"GCF_000020125.1","Paraburkholderia phytofirmans"
"GCF_000020185.1","Shigella boydii"
"GCF_000020385.1","Trichlorobacter lovleyi"
"GCF_000020705.1","Salmonella enterica"
"GCF_000020745.1","Salmonella enterica"
"GCF_000020885.1","Salmonella enterica"
"GCF_000020925.1","Salmonella enterica"
"GCF_000021165.1","Helicobacter pylori"
"GCF_000021325.1","Gluconacetobacter diazotrophicus"
"GCF_000021485.1","Acidithiobacillus ferrooxidans"
"GCF_000021925.1","Desulfitobacterium hafniense"
"GCF_000022025.1","Pseudarthrobacter chlorophenolicus"
"GCF_000022065.1","Ruminiclostridium cellulolyticum"
"GCF_000022205.1","Halorubrum lacusprofundi"
"GCF_000022325.1","Caldicellulosiruptor bescii"
"GCF_000022785.1","Rickettsia prowazekii"
"GCF_000022845.1","Yersinia pestis"
"GCF_000022905.1","Corynebacterium aurimucosum"
"GCF_000022925.1","Listeria monocytogenes"
"GCF_000023005.1","Rickettsia africae"
"GCF_000023145.1","Corynebacterium kroppenstedtii"
"GCF_000023285.1","Capnocytophaga ochracea"
"GCF_000023625.1","Mycobacterium tuberculosis"
"GCF_000023865.1","Saccharomonospora viridis"
"GCF_000023965.1","Halomicrobium mukohataei"
"GCF_000024005.1","Chitinophaga pinensis"
"GCF_000024285.1","Alicyclobacillus acidocaldarius"
"GCF_000024425.1","Meiothermus ruber"
"GCF_000024565.1","Streptobacillus moniliformis"
"GCF_000024845.1","Rhodothermus marinus"
"GCF_000025685.1","Haloferax volcanii"
"GCF_000025925.1","Xylanibacter ruminicola"
"GCF_000025985.1","Bacteroides fragilis"
"GCF_000026005.1","Ehrlichia ruminantium"
"GCF_000026565.1","Salmonella enterica"
"GCF_000026645.1","Pseudomonas aeruginosa"
"GCF_000026745.1","Streptococcus suis"
"GCF_000026965.1","Neisseria meningitidis"
"GCF_000027145.1","Listeria seeligeri"
"GCF_000027325.1","Mycoplasmoides genitalium"
"GCF_000027345.1","Mycoplasmoides pneumoniae"
"GCF_000039765.1","Vibrio vulnificus"
"GCF_000047365.1","Yersinia pseudotuberculosis"
"GCF_000055785.1","Chromohalobacter israelensis"
"GCF_000062885.1","Saccharopolyspora erythraea"
"GCF_000063605.1","Mycoplasmopsis agalactiae"
"GCF_000067205.1","Bordetella petrii"
"GCF_000069185.1","Mycobacteroides abscessus"
"GCF_000083545.1","Methylorubrum extorquens"
"GCF_000083565.1","Neisseria meningitidis"
"GCF_000085865.1","Metamycoplasma hominis"
"GCF_000091125.1","Sphingobium indicum"
"GCF_000091545.1","Thermus thermophilus"
"GCF_000091645.1","Streptococcus mutans"
"GCF_000091665.1","Methanocaldococcus jannaschii"
"GCF_000092025.1","Agrobacterium fabrum"
"GCF_000092045.1","Rhizobium etli"
"GCF_000092525.1","Shigella sonnei"
"GCF_000092545.1","Legionella pneumophila"
"GCF_000092785.1","Waddlia chondrophila"
"GCF_000143685.1","Clostridium ljungdahlii"
"GCF_000145235.1","Micromonospora aurantiaca (nom. illeg.)"
"GCF_000145615.1","Thermoanaerobacterium thermosaccharolyticum"
"GCF_000146165.2","Shewanella oneidensis"
"GCF_000146505.1","Fibrobacter succinogenes"
"GCF_000148625.1","Mycoplasmopsis fermentans"
"GCF_000151105.2","Thermococcus barophilus"
"GCF_000152165.1","Neisseria meningitidis"
"GCF_000157895.3","Mycobacterium kansasii"
"GCF_000164675.2","Streptococcus parasanguinis"
"GCF_000164695.2","Rothia dentocariosa"
"GCF_000164865.1","Enterobacter lignolyticus"
"GCF_000172995.2","Halogeometricum borinquense"
"GCF_000176855.2","Paracidovorax avenae"
"GCF_000179635.2","Hominimerdicola alba"
"GCF_000182745.2","Komagataeibacter medellinensis"
"GCF_000183155.1","Riemerella anatipestifer"
"GCF_000183385.1","Mycoplasmopsis bovis"
"GCF_000184685.1","Intrasporangium calvum"
"GCF_000187935.1","Streptococcus parauberis"
"GCF_000190595.1","Cellulophaga lytica"
"GCF_000195915.1","Thermoplasma acidophilum"
"GCF_000195955.2","Mycobacterium tuberculosis"
"GCF_000196115.1","Rhodopirellula baltica"
"GCF_000196175.1","Bdellovibrio bacteriovorus"
"GCF_000196435.1","Bartonella tribocorum"
"GCF_000196795.1","Acinetobacter oleivorans"
"GCF_000196875.2","Halomonas elongata"
"GCF_000196895.1","Halalkalicoccus jeotgali"
"GCF_000197735.1","Glutamicibacter arilaitensis"
"GCF_000202835.1","Acidiphilium multivorum"
"GCF_000204135.1","Chlamydia pecorum"
"GCF_000204255.1","Chlamydia psittaci"
"GCF_000204645.1","Alicycliphilus denitrificans"
"GCF_000208405.1","Selenomonas sputigena"
"GCF_000212695.1","Cellulomonas fimi"
"GCF_000218565.1","Afipia carboxidovorans"
"GCF_000219215.1","Cupriavidus necator"
"GCF_000220705.2","Streptomyces xinghaiensis"
"GCF_000220945.1","Amycolatopsis mediterranei"
"GCF_000223905.1","Haloarcula hispanica"
"GCF_000225345.1","Roseburia hominis"
"GCF_000227465.1","Bacillus spizizenii"
"GCF_000230655.2","Thermotoga maritima"
"GCF_000235405.2","Fervidobacterium pennivorans"
"GCF_000236925.1","Staphylococcus argenteus"
"GCF_000252995.1","Salmonella bongori"
"GCF_000253175.1","Yersinia enterocolitica"
"GCF_000255295.1","Corallococcus coralloides"
"GCF_000264765.2","Edwardsiella anguillarum"
"GCF_000265465.1","Ornithobacterium rhinotracheale"
"GCF_000283595.1","Rickettsia japonica"
"GCF_000284075.1","Rickettsia rhipicephali"
"GCF_000284295.1","Actinoplanes missouriensis"
"GCF_000284615.1","Marinobacter nauticus"
"GCF_000300005.1","Alloalcanivorax dieselolei"
"GCF_000300455.3","Kosakonia sacchari"
"GCF_000304355.2","Methanoculleus bourgensis"
"GCF_000313175.2","Leptospira santarosai"
"GCF_000317675.1","Cyanobacterium aponinum"
"GCF_000330885.1","Martinezella tropici"
"GCF_000331185.2","Streptomyces rimosus"
"GCF_000331735.1","Myxococcus stipitatus"
"GCF_000340885.1","Clostridium saccharoperbutylacetonicum"
"GCF_000355675.1","Thalassolituus oleivorans"
"GCF_000355695.1","Clavibacter nebraskensis"
"GCF_000412675.1","Pseudomonas putida"
"GCF_000422085.1","Serratia liquefaciens"
"GCF_000445445.2","Sporomusa ovata"
"GCF_000463345.2","Prodigiosinella confusarubida"
"GCF_000470775.1","Leifsonia xyli"
"GCF_000473995.1","Clostridium saccharobutylicum"
"GCF_000511385.1","Phaeobacter gallaeciensis"
"GCF_000513295.1","Magnetospirillum gryphiswaldense"
"GCF_000590865.3","Candidatus Liberibacter asiaticus"
"GCF_000599985.1","Gilliamella apicola"
"GCF_000600005.1","Snodgrassella alvi"
"GCF_000697965.2","Ensifer adhaerens"
"GCF_000698785.1","Nitrososphaera viennensis"
"GCF_000724605.1","Actinotignum schaalii"
"GCF_000739435.1","Actinobacillus suis"
"GCF_000758725.1","Paenibacillus odorifer"
"GCF_000763515.1","Listeria ivanovii"
"GCF_000772105.1","Vibrio tubiashii"
"GCF_000807675.2","Eubacterium limosum"
"GCF_000816085.1","Staphylococcus hyicus"
"GCF_000818015.1","Stutzerimonas balearica"
"GCF_000821185.2","Serratia symbiotica"
"GCF_000830005.1","Streptomyces vietnamensis"
"GCF_000832905.1","Heyndrickxia coagulans"
"GCF_000953635.1","Legionella micdadei"
"GCF_000959445.1","Burkholderia vietnamiensis"
"GCF_000959545.1","Burkholderia ambifaria"
"GCF_000960995.1","Burkholderia glumae"
"GCF_000961515.1","Paraburkholderia fungorum"
"GCF_000968535.2","Methylotuvimicrobium alcaliphilum"
"GCF_000969765.1","Mycoplasmopsis synoviae"
"GCF_000970025.1","Methanosarcina barkeri"
"GCF_000970205.1","Methanosarcina mazei"
"GCF_000973105.1","Zobellia galactanivorans"
"GCF_000973705.1","Clostridium sporogenes"
"GCF_000975265.2","Mycobacterium lepromatosis"
"GCF_000981585.1","Paenibacillus riograndensis"
"GCF_001006005.1","Serratia fonticola"
"GCF_001007935.1","Nitrosomonas communis"
"GCF_001025155.1","Bifidobacterium angulatum"
"GCF_001025195.1","Bifidobacterium catenulatum"
"GCF_001027285.1","Archangium gephyra"
"GCF_001028665.1","Burkholderia pyrrocinia"
"GCF_001038625.1","Clostridium carboxidivorans"
"GCF_001040945.1","Herbaspirillum seropedicae"
"GCF_001042595.1","Bifidobacterium dentium"
"GCF_001042655.1","Gardnerella vaginalis"
"GCF_001042675.1","Parascardovia denticolens"
"GCF_001050115.1","Bacillus smithii"
"GCF_001267435.1","Neomoorella thermoacetica"
"GCF_001267885.1","Streptomyces ambofaciens"
"GCF_001277215.2","Cronobacter malonaticus"
"GCF_001277235.1","Cronobacter dublinensis"
"GCF_001298465.1","Campylobacter concisus"
"GCF_001314325.1","Sphingopyxis macrogoltabida"
"GCF_001314995.1","Bacteroides ovatus"
"GCF_001411805.1","Burkholderia plantarii"
"GCF_001441165.1","Acidipropionibacterium acidipropionici"
"GCF_001444405.1","Pseudoalteromonas phenolica"
"GCF_001456255.1","Vibrio natriegens"
"GCF_001457455.1","Corynebacterium diphtheriae"
"GCF_001457555.1","Fusobacterium polymorphum"
"GCF_001457635.1","Streptococcus pneumoniae"
"GCF_001465595.2","Pandoraea apista"
"GCF_001482365.1","Kocuria flava"
"GCF_001484725.1","Clostridium autoethanogenum"
"GCF_001543205.1","Aerococcus urinaeequi"
"GCF_001543285.1","Aerococcus viridans"
"GCF_001547995.1","Asaia bogorensis"
"GCF_001553955.1","Faucicola osloensis"
"GCF_001558415.2","Vibrio fluvialis"
"GCF_001562195.1","Alteromonas stellipolaris"
"GCF_001584145.1","Collimonas fungivorans"
"GCF_001594225.2","Pseudomonas glycinae"
"GCF_001605725.1","Mycobacteroides immunogenum"
"GCF_001610955.1","Geobacillus thermoleovorans"
"GCF_001618685.1","Geobacillus subterraneus"
"GCF_001632805.1","Mycobacteroides chelonae"
"GCF_001633165.1","Rhodovulum sulfidophilum"
"GCF_001642675.1","Bradyrhizobium diazoefficiens"
"GCF_001644705.1","Dickeya solani"
"GCF_001655245.1","Mycolicibacterium vaccae"
"GCF_001658025.2","Kosakonia oryzae"
"GCF_001661075.1","Pseudomonas silesiensis"
"GCF_001682385.1","Azoarcus olearius"
"GCF_001685355.1","Streptomyces lincolnensis"
"GCF_001687585.2","Planococcus halocryophilus"
"GCF_001687625.2","Planococcus maritimus"
"GCF_001698225.1","Gordonia terrae"
"GCF_001700985.1","Parageobacillus thermoglucosidasius"
"GCF_001719165.1","Erythrobacter litoralis"
"GCF_001720485.1","Cobetia marina"
"GCF_001729805.1","Enterobacter roggenkampii"
"GCF_001742145.1","Pectobacterium parmentieri"
"GCF_001742185.1","Pectobacterium wasabiae"
"GCF_001750725.1","Enterobacter ludwigii"
"GCF_001761545.1","Weissella soli"
"GCF_001856645.1","Clostridium pasteurianum"
"GCF_001886855.1","Spiroplasma citri"
"GCF_001887595.1","Luteibacter rhizovicinus"
"GCF_001888925.1","Lactobacillus delbrueckii"
"GCF_001941345.1","Corynebacterium stationis"
"GCF_001941425.1","Corynebacterium ammoniagenes"
"GCF_001941585.1","Legionella pneumophila"
"GCF_001953955.1","Prevotella intermedia"
"GCF_001955735.1","Rhodoferax antarcticus"
"GCF_001975665.1","Polaribacter reichenbachii"
"GCF_002009335.2","Desulfococcus multivorans"
"GCF_002023665.2","Elizabethkingia anophelis"
"GCF_002080395.1","Campylobacter helveticus"
"GCF_002097715.1","Burkholderia ubonensis"
"GCF_002139935.1","Campylobacter lanienae"
"GCF_002155265.1","Corynebacterium pseudotuberculosis"
"GCF_002224265.1","Vibrio vulnificus"
"GCF_002240415.1","Paenibacillus kribbensis"
"GCF_002243645.1","Peribacillus simplex"
"GCF_002278135.3","Bradyrhizobium ottawaense"
"GCF_002288285.1","Sphingobium xenophagum"
"GCF_002291445.1","Brenneria goodwinii"
"GCF_002302565.1","Capnocytophaga canimorsus"
"GCF_002310835.1","Pseudoalteromonas tetraodonis"
"GCF_002310855.1","Pseudoalteromonas agarivorans"
"GCF_002355475.1","Metapseudomonas furukawaii"
"GCF_002355775.1","Mycobacterium ulcerans"
"GCF_002356315.1","Mycobacterium shigaense"
"GCF_002706425.1","Loigolactobacillus coryniformis"
"GCF_002706665.1","Bifidobacterium pseudolongum"
"GCF_002706745.1","Companilactobacillus farciminis"
"GCF_002706795.1","Brevibacillus laterosporus"
"GCF_002715865.1","Bifidobacterium asteroides"
"GCF_002812485.1","Dickeya fangzhongdai"
"GCF_002812705.1","Achromobacter spanius"
"GCF_002813755.1","Enterococcus mundtii"
"GCF_002849715.1","Crystallibacter crystallopoietes"
"GCF_002945325.1","Methanococcus maripaludis"
"GCF_002950395.1","Shigella sonnei"
"GCF_002982115.1","Lysinibacillus sphaericus"
"GCF_003010495.1","Megasphaera elsdenii"
"GCF_003012915.1","Staphylococcus felis"
"GCF_003015125.1","Caulobacter segnis"
"GCF_003019295.1","Fusobacterium nucleatum"
"GCF_003049785.1","Dickeya dadantii"
"GCF_003172995.1","Streptococcus sobrinus"
"GCF_003194085.1","Aurantimicrobium photophilum"
"GCF_003258315.1","Bradymonas sediminis"
"GCF_003290385.1","Actinobacillus pleuropneumoniae"
"GCF_003343245.1","Photorhabdus laumondii"
"GCF_003352185.1","Pseudomonas kribbensis"
"GCF_003367075.2","Cylindrospermopsis raciborskii"
"GCF_003367705.1","Microbacterium foliorum"
"GCF_003428925.1","Streptomyces koyangensis"
"GCF_003544835.1","Aliarcobacter skirrowii"
"GCF_003574835.2","Thermobifida halotolerans"
"GCF_003584745.1","Mycobacterium pseudoshottsii"
"GCF_003606265.1","Clostridium septicum"
"GCF_003614435.1","Mycobacterium paragordonae"
"GCF_003628755.1","Christensenella minuta"
"GCF_003641185.1","Lactiplantibacillus pentosus"
"GCF_003660105.1","Aliarcobacter cryaerophilus"
"GCF_003711105.1","Actinoplanes teichomyceticus"
"GCF_003719195.1","Herbaspirillum rubrisubalbicans"
"GCF_003722315.1","Thermoanaerobacter ethanolicus"
"GCF_003860345.1","Caenibius tardaugens"
"GCF_003860565.1","Cloacibacterium normanense"
"GCF_003945385.1","Pseudonocardia autotrophica"
"GCF_004063735.1","Paracoccus denitrificans"
"GCF_004101845.1","Latilactobacillus curvatus"
"GCF_004117055.1","Brevibacillus agri"
"GCF_004117095.1","Paenibacillus chitinolyticus"
"GCF_004295125.1","Clostridium scindens"
"GCF_004792415.1","Pantoea vagans"
"GCF_004799605.1","Halobacterium salinarum"
"GCF_004803815.1","Campylobacter showae"
"GCF_005221305.1","Neisseria subflava"
"GCF_005406325.1","Haloferax mediterranei"
"GCF_005519465.1","Streptomyces clavuligerus"
"GCF_006094375.1","Staphylococcus epidermidis"
"GCF_006094395.1","Staphylococcus haemolyticus"
"GCF_006094455.1","Morganella morganii"
"GCF_006094495.1","Priestia megaterium"
"GCF_006364355.1","Vibrio furnissii"
"GCF_006711645.1","Klebsiella electrica"
"GCF_006716135.1","Streptomyces calvus"
"GCF_006739385.1","Cutibacterium acnes"
"GCF_007970465.1","Corynebacterium nuruki"
"GCF_008151785.1","Peptacetobacter hiranonis"
"GCF_008153345.1","Treponema phagedenis"
"GCF_008245025.1","Campylobacter lari"
"GCF_008245085.1","Pyrococcus furiosus"
"GCF_008639165.1","Streptomyces venezuelae"
"GCF_008704425.1","Streptomyces fradiae"
"GCF_008704795.1","Streptomyces spectabilis"
"GCF_008704995.1","Streptomyces nodosus"
"GCF_008705175.1","Clostridium diolis"
"GCF_008728195.1","Roseovarius indicus"
"GCF_008801925.2","Cupriavidus basilensis"
"GCF_008807375.1","Metapseudomonas lalkuanensis"
"GCF_008824185.1","Paracoccus pantotrophus"
"GCF_008932115.1","Bradyrhizobium betae"
"GCF_009035845.1","Acinetobacter baumannii"
"GCF_009183365.2","Shewanella algae"
"GCF_009299385.1","Streptomyces cinereoruber"
